cluster_id,n_sats,n_planes,plane_ids,max_plane_sats,max_plane_frac,mean_inc,mean_alt
606,4,1,[np.int64(16)],4,1.0,53.216925,547.897403612806
836,4,2,"[np.int64(13), np.int64(14)]",3,0.75,53.21765,547.8164134909904
814,4,1,[np.int64(19)],4,1.0,53.218025,547.7205265135665
1513,4,1,[np.int64(42)],4,1.0,53.051575,555.3761150240763
1521,4,1,[np.int64(53)],4,1.0,53.134975,551.6243811813339
1050,4,1,[np.int64(9)],4,1.0,53.218199999999996,547.9309187505647
945,4,1,[np.int64(18)],4,1.0,53.2172,547.8730443041529
1099,4,1,[np.int64(27)],4,1.0,53.218075,547.7530146242995
1535,4,1,[np.int64(48)],4,1.0,53.21510000000001,547.8130448710141
1187,4,1,[np.int64(22)],4,1.0,53.216874999999995,548.0491368677214
1186,4,1,[np.int64(22)],4,1.0,53.218125,547.885826891141
1207,4,1,[np.int64(12)],4,1.0,53.218125,547.9481684460023
1455,4,1,[np.int64(48)],4,1.0,53.174425,548.0263308449397
1511,4,1,[np.int64(40)],4,1.0,53.214425,547.9628168994749
1509,4,1,[np.int64(35)],4,1.0,53.0556,555.1409151081389
1505,4,1,[np.int64(62)],4,1.0,53.054550000000006,555.3839958473566
1465,4,1,[np.int64(33)],4,1.0,53.216175,547.8172551905212
1453,4,1,[np.int64(47)],4,1.0,53.21355,547.846553031201
1426,4,1,[np.int64(50)],4,1.0,53.175125,549.6100132334072
1662,4,1,[np.int64(36)],4,1.0,53.2156,547.9258951630576
1632,4,1,[np.int64(55)],4,1.0,53.217124999999996,547.9574144859878
402,4,1,[np.int64(71)],4,1.0,53.219125000000005,547.8767078320379
841,4,1,[np.int64(18)],4,1.0,53.217600000000004,547.8849535502314
1607,3,1,[np.int64(67)],3,1.0,53.05516666666667,555.3391792089986
1751,3,1,[np.int64(46)],3,1.0,53.21496666666666,547.8439457046765
1610,3,1,[np.int64(38)],3,1.0,53.214866666666666,547.8494823159162
1619,3,1,[np.int64(59)],3,1.0,53.05446666666668,555.4087863327576
1780,3,1,[np.int64(64)],3,1.0,53.21876666666666,548.0613312455013
1581,3,1,[np.int64(47)],3,1.0,53.21533333333334,547.710028895265
1571,3,1,[np.int64(33)],3,1.0,53.21543333333333,547.8320129727715
1599,3,1,[np.int64(53)],3,1.0,53.08303333333333,534.235045114514
1617,3,1,[np.int64(43)],3,1.0,53.054899999999996,555.3264700215266
902,3,1,[np.int64(24)],3,1.0,53.21896666666667,547.8946555615604
813,3,2,"[np.int64(11), np.int64(12)]",2,0.6666666666666666,53.21803333333333,547.827614008475
418,3,1,[np.int64(4)],3,1.0,53.06983333333333,544.1065565384883
1687,3,1,[np.int64(65)],3,1.0,53.21843333333334,547.9866771844803
1684,3,1,[np.int64(58)],3,1.0,53.06816666666666,544.0213708198213
1727,3,1,[np.int64(68)],3,1.0,53.21956666666667,547.9432982473072
1688,3,1,[np.int64(65)],3,1.0,53.218999999999994,547.8858416758168
1676,3,1,[np.int64(63)],3,1.0,53.21906666666666,547.9043299905615
1738,3,1,[np.int64(56)],3,1.0,53.215399999999995,547.6068420474845
485,3,1,[np.int64(7)],3,1.0,53.21763333333333,547.9194534173149
464,3,1,[np.int64(2)],3,1.0,53.21926666666667,547.878374821724
512,3,1,[np.int64(6)],3,1.0,53.217800000000004,547.6555326443214
1731,3,1,[np.int64(43)],3,1.0,53.21543333333333,547.756769014925
1718,3,2,"[np.int64(55), np.int64(56)]",2,0.6666666666666666,53.053266666666666,554.7839879365579
1330,3,1,[np.int64(25)],3,1.0,53.21836666666667,547.9030721514995
1252,3,1,[np.int64(21)],3,1.0,53.2163,547.8618247157516
1233,3,1,[np.int64(20)],3,1.0,53.2167,547.8297345445085
1269,3,1,[np.int64(29)],3,1.0,53.21613333333334,547.7866593368345
1213,3,1,[np.int64(21)],3,1.0,53.2173,547.7080584507511
443,3,1,[np.int64(1)],3,1.0,53.21883333333333,547.7969809826799
440,3,1,[np.int64(3)],3,1.0,53.218700000000005,547.8542801326122
486,3,2,"[np.int64(6), np.int64(7)]",2,0.6666666666666666,53.21836666666667,547.9195158635223
539,3,1,[np.int64(4)],3,1.0,53.218066666666665,547.5968148368684
516,3,1,[np.int64(0)],3,1.0,53.22063333333333,547.8455948642663
1648,3,2,"[np.int64(43), np.int64(44)]",2,0.6666666666666666,53.05326666666667,555.2968172824917
724,3,1,[np.int64(11)],3,1.0,53.05506666666667,555.7377872040464
762,3,1,[np.int64(11)],3,1.0,53.05519999999999,555.3520213204794
1580,3,1,[np.int64(45)],3,1.0,53.214,547.787947042283
1556,3,1,[np.int64(39)],3,1.0,53.21576666666667,547.7934671338098
1542,3,1,[np.int64(61)],3,1.0,53.2198,547.9607549591909
1544,3,1,[np.int64(62)],3,1.0,53.21973333333333,547.9371936593152
1118,3,1,[np.int64(13)],3,1.0,53.2183,547.7811795779063
1127,3,1,[np.int64(26)],3,1.0,53.2182,547.8655576910902
1125,3,1,[np.int64(22)],3,1.0,53.216366666666666,547.8292468071514
1543,3,1,[np.int64(61)],3,1.0,53.21866666666667,548.0028070760901
1488,3,1,[np.int64(62)],3,1.0,53.05413333333333,555.4218646501545
1474,3,1,[np.int64(49)],3,1.0,53.05186666666666,555.5129434384378
1469,3,1,[np.int64(47)],3,1.0,53.0548,555.3979652724166
1502,3,1,[np.int64(61)],3,1.0,53.21873333333334,547.8633127325704
1504,3,1,[np.int64(62)],3,1.0,53.0537,555.1678471806459
