N,best_real_cost,optimized_cost,success,label,error
3,1.8638263683625905e-05,1.328558514142006e-05,True,44,
2,6.072769116503147e-07,7.613664986593e-08,True,45,
3,0.4185007289144816,0.14171281095526364,True,46,
7,8.359182446900927,7.583223512979467,True,47,
4,0.0004688036139263622,0.00019490396496938507,True,48,
3,327.0083058519039,127.82428004354273,True,49,
4,6.46442583426105e-05,2.9107581241391336e-05,True,50,
6,4.7031766675419977e-07,2.5192310605007107e-07,True,51,
8,1.3633931506894809e-06,1.1337307223385763e-06,True,52,
4,5.309839432709177,3.500086294982081,True,53,
4,1.1393209908205821,0.45924264079737176,True,54,
22,0.006631900926865158,0.00525379083380702,True,55,
3,1.6613609959887041,0.34896231175893916,True,56,
5,0.06291472851566811,0.058027161832451844,True,57,
7,74.47459446232047,45.33231343488443,True,58,
3,2.7446037599469904,0.6251033258283768,True,59,
3,1.216518764475131e-07,1.1195504660092389e-07,True,60,
4,7.166361291072373e-07,6.122075642550301e-07,True,61,
6,4.496383426840105e-06,3.500571622785764e-06,True,62,
3,4.056041150794114e-07,2.8255583292963293e-07,True,63,
4,4.840566062784058,3.0170022685666558,True,64,
11,6.433847095990959,5.73908791244502,True,65,
9,49.123189775415945,41.87401301826713,True,66,
6,2.8544773952540127e-06,2.1656867689356294e-06,True,67,
6,1.19344473560652e-05,1.1105127246176965e-05,True,68,
