Cluster ID,Tier,Size,Min Altitude (km),Max Altitude (km),Mean Density
204,Minor,11,591.3194996954799,598.6772126863068,2.1585072408837693e-11
362,Minor,11,556.8912068991353,558.3965323910965,2.5543215271094e-11
1181,Minor,11,483.0250026236968,483.42112850647607,4.3627530215091676e-11
858,Minor,11,490.4819488378279,491.5555661801565,3.426872131411234e-11
357,Minor,11,446.87858513664173,536.5670026700403,2.8516220354299843e-11
1254,Minor,11,351.0619631309398,386.5760300578186,4.5527438788974695e-11
246,Minor,11,512.107913177711,571.5681992523083,4.204427307018915e-12
218,Minor,11,557.6600598187176,558.5235894582988,1.4513190494939773e-11
1088,Minor,11,451.46642472672744,491.3594538205564,4.2220190530733883e-11
596,Minor,11,566.5456271298145,567.2964652328994,3.23160375020659e-11
439,Minor,11,547.7517527965111,547.9766150475526,3.8473148621131245e-11
470,Minor,11,490.268881291287,492.75114160230476,4.160447941882734e-11
1016,Minor,11,566.7596317967829,567.528658187271,3.2720647661318754e-11
1549,Minor,11,482.51348996861185,485.3109743892681,4.4982094661286054e-11
1013,Minor,11,566.622780569668,567.9422565906774,3.636213909459455e-11
271,Minor,10,588.8669957611412,599.8350085617416,3.814066462070171e-11
1791,Minor,10,482.75119836275746,483.7973044402543,5.402777048249579e-11
875,Minor,10,489.1791901360806,491.32481212743465,4.228176164192452e-11
1427,Minor,10,547.7369673513305,548.26471764996,4.636480590116759e-11
1446,Minor,10,482.82597083440146,485.5960961907711,3.829547198598107e-11
771,Minor,10,490.6013343568044,567.1581856462341,3.4851008108515364e-11
924,Minor,10,490.28814785455074,491.8653712191572,3.591530874481095e-11
906,Minor,10,549.9201239328347,567.2628135295902,3.096147305587152e-11
818,Minor,10,490.04744073748867,567.0341404909548,3.1271087786430225e-11
1197,Minor,10,490.8943859477015,491.75853448389284,4.762261574406237e-11
823,Minor,10,490.4955937992036,492.33461274863595,3.278045959790396e-11
1334,Minor,10,483.0581232942408,483.5195751467003,3.601206334811054e-11
1352,Minor,10,482.9001258541122,483.3735839025471,4.334606227822012e-11
1626,Minor,10,456.91898236881195,496.50354751181044,3.4812306267195526e-11
1241,Minor,10,566.3783155857614,567.8991613096381,3.289656512186348e-11
1246,Minor,10,566.7677966197664,567.669242341524,4.4100748183956994e-11
1075,Minor,10,490.44001942052597,492.20020546572374,3.0400296356733836e-11
287,Minor,10,492.98860341603773,551.9008865111433,3.1154982262470705e-12
307,Minor,10,570.4402492620573,572.0020991901476,1.8770393040122102e-11
1069,Minor,10,490.51977724408636,491.2508646473326,3.899210512973818e-11
188,Minor,10,368.4548093030844,651.5845338210416,8.78531797960354e-12
1028,Minor,10,490.63031474114115,492.54518383027056,3.401891852013882e-11
1558,Minor,10,547.5615425282735,556.4625887564728,5.058330660503008e-11
424,Minor,10,490.2287242272841,491.67201077879037,4.0153160369333365e-11
376,Minor,10,627.4481006358992,634.8530725435903,5.582740610386831e-11
220,Minor,10,557.5336486305343,558.2679756923644,1.4513190494939771e-11
1550,Minor,10,547.189731301968,548.2385825026687,4.44103629145157e-11
1004,Minor,10,490.50385870662143,491.331744592268,3.1967720930187336e-11
543,Minor,10,483.0022039489783,483.43938789096103,4.4003993580657385e-11
1524,Minor,10,555.1693654717412,555.6711006201106,6.71089928486015e-11
105,Minor,10,580.8772934066513,581.3429105336769,3.87018413198394e-12
767,Minor,10,480.8471414601281,491.5090981498724,3.2645003153284525e-11
107,Minor,10,481.3181548903547,523.0895902593592,1.8770393040122103e-12
824,Minor,10,490.590955396466,493.1582219936801,4.098524995770991e-11
678,Minor,10,363.8379380751746,366.63456118901166,3.875989408181914e-11
481,Minor,10,364.3825010096151,366.06523285876403,4.800963415726076e-11
1270,Minor,10,547.6741614938574,548.1046384771327,4.274618373776261e-11
428,Minor,10,490.22358314833974,491.7566699643489,3.8276121065321153e-11
517,Minor,10,364.08927131183447,567.9619050188251,3.846963027192035e-11
